MNEMONIC NAME,FIELD SIZE,DATA ELEMENT DESCRIPTION,BUSINESS RULES AND EDITS,CLARIFICATION / EXPLANATION OF MNEMONIC,FIELD,ANALYSIS
TCON.PULSE/M3,"NUMB 10,5",TURBINE DEVICE K-FACTOR,"mandatory, if [lqmtyp] (metering device type indicator) = (t)urbine, then must provide k-factor ",Manufacturer specific K-Factor,~ METER LIQUID (n),PRD
TMEA.,CHAR 1,TANK MEASUREMENT INDICATOR,"mandatory, if [lqmtyp] (metering device type indicator) = (l)evel or (v)olume, then must indicate if measurement is (i)ncremental or (c)umulative else can be null",Flag indicating (I)ncremental or (C)umulative measurement,~ METER LIQUID (n),PRD
TEQU.,CHAR 240,TANK EQUATION,"mandatory, if [lqmtyp] (metering device type indicator) = (l)evel, must provide tank measurement and volume equation.",Equation illustration,~ METER LIQUID (n),PRD
MCOML.,CHAR 240,COMMENT - LIQUID METER,,Provides additional information about the meter being used,~ METER LIQUID (n),PRD
TIME.DAY/HR/SS,YYYY MM DD HHHH:SS,REAL TIME,must be >= spud date and <= abandoned date and <= submission date ,24 Hour clock. Must correspond to [FTDT] (Test Final Date/Time) ,~ DATA TABLE LIQUID (n),PRD
GNLF.MM,"NUMB 8,3",TANK GAIN LEVEL,"mandatory, if [lqmtyp] (metering device type indicator) = (l)evel, and at least one value > = 0.00 must appear in table.",,~ DATA TABLE LIQUID (n),PRD
GNVF.M3,"NUMB 8,3",TANK GAIN VOLUME,"mandatory, if [lqmtyp] (metering device type indicator) = (l)evel or (v)olume, and at least one value > = 0.00 must appear in table.",,~ DATA TABLE LIQUID (n),PRD
TRBF.PULSE,"NUMB 14,3 ",TURBINE METER READING,"mandatory, if [lqmtyp] (metering device type indicator) = (t)urbine",,~ DATA TABLE LIQUID (n),PRD
API.,"NUMB 4,2",API GRAVITY @ 15 DegC,"optional.  if present, can not be zero.","Measured Gravity of Produced Oil, Degrees API",~ DATA TABLE LIQUID (n),PRD
BSW.FRAC,"NUMB 4,3",FRACTION OF TOTAL BS&W,"mandatory, if [liqt] (liquid type indicator) = (o)ii,  and at least one value > = 0.00 must appear in table.","Basic sand and water volume fraction, total",~ DATA TABLE LIQUID (n),PRD
SALT.PPM,"NUMB 8,0",SALINITY PPM,"optional. if present, can be zero.",Salinity of produced fluid (PPM),~ DATA TABLE LIQUID (n),PRD
PH.,"NUMB 3,1",PH,optional. if present must be >0 and < 14.,pH concentration of produced fluid,~ DATA TABLE LIQUID (n),PRD
OILRATE.M3/D,"NUMB 13,4",OIL RATE,"mandatory, if meter liquid (n) [liqt] (liquid type indicator) = (o)il and at least one value >0.00 must appear in table.","Produced oil only, not load or frac oil",~ DATA TABLE LIQUID (n),PRD
CONRATE.M3/D,"NUMB 13,4",CONDENSATE RATE ,"mandatory, if, meter liquid (n) [liqt] (liquid type indicator) = (c)ondensate and at least one value >0.00 must appear in table.",,~ DATA TABLE LIQUID (n),PRD
WTRRATE.M3/D,"NUMB 13,4",WATER RATE,"mandatory, if, meter liquid (n) [liqt] (liquid type indicator) = (w)ater and at least one value >0.00 must appear in table.",,~ DATA TABLE LIQUID (n),PRD
QLIQ.M3/D,"NUMB 13,4",MEASURED TOTAL LIQUID RATE,must = [oilrate] (oil rate) + [conrate] (condensate rate) + [wtrrate] (water rate),Total Combined Liquid Rate,~ DATA TABLE LIQUID (n),PRD
TIME.DAY/HR/SS,YYYY MM DD HHHH:SS,REAL TIME,must be >= spud date and <= abandoned date and <= submission date ,24 Hour clock. Must correspond to [FTDT] (Test Final Date/Time) ,~ DATA TABLE SUMMARY,PRD
TWH.DEGC,"NUMB 5,2",WELLHEAD TEMPERATURE,"optional, can be zero",Temperature measured at wellhead (DegC),~ DATA TABLE SUMMARY,PRD
TUPS.KPAA,"NUMB 8,2",TUBING PRESSURE,"mandatory, if [csps] (casing pressure) is null. can be zero.",(kPaa),~ DATA TABLE SUMMARY,PRD
TTUB.DEGC,"NUMB 5,2",TUBING TEMPERATURE,"optional, can be zero",(DegC),~ DATA TABLE SUMMARY,PRD
CSPS.KPAA,"NUMB 8,2",CASING PRESSURE,"mandatory, if [tups] (tubing pressure) is null. can be zero.",(kPaa),~ DATA TABLE SUMMARY,PRD
TCAS.DEGC,"NUMB 5,2",CASING TEMPERATURE,"optional, can be zero",(DegC),~ DATA TABLE SUMMARY,PRD
QTGAS.E3M3/D,"NUMB 13,4",TOTAL GAS RATE ALL METERS,"mandatory, if [vtgas] = (total gas volume produced) >0.00",,~ DATA TABLE SUMMARY,PRD
QTOIL.M3/D,"NUMB 13,4",TOTAL OIL RATE ALL METERS,"mandatory, if [vtoil] = (total oil volume produced) >0.00","Produced oil only, not load or frac oil",~ DATA TABLE SUMMARY,PRD
QTCON.M3/D,"NUMB 13,4",TOTAL CONDENSATE RATE ALL METERS,"mandatory, if [vtcon] = (total condensate volume produced) >0.00",,~ DATA TABLE SUMMARY,PRD
QTWTR.M3/D,"NUMB 13,4",TOTAL WATER RATE ALL METERS,"mandatory, if [vtwtr] = (total water volume produced) >0.00",,~ DATA TABLE SUMMARY,PRD
VTGAS.E3M3,"NUMB 13,4",CUMULATIVE TOTAL GAS VOLUME ALL METERS,[vtgas] (last line dtsum ) must equal total of [flgas] + [ingas] + [plgas] + [vngas]. can be zero.,"Cumulative volume produced during test. All Methods, Flared, Incinerated, Vented or Inline/(Pipelined)",~ DATA TABLE SUMMARY,PRD
VTOIL.M3,"NUMB 13,4",CUMULATIVE TOTAL OIL VOLUME ALL METERS,can be zero.,"Cumulative volume produced during test. Produced oil only, not load or frac oil",~ DATA TABLE SUMMARY,PRD
VTCON.M3,"NUMB 13,4",CUMULATIVE TOTAL CONDENSATE VOLUME ALL METERS,can be zero.,Cumulative volume produced during test,~ DATA TABLE SUMMARY,PRD
VTWTR.M3,"NUMB 13,4",CUMULATIVE TOTAL WATER VOLUME ALL METERS,can be zero.,Cumulative volume produced during test,~ DATA TABLE SUMMARY,PRD
COMM.,CHAR 240,COMMENT,,General Test Comments (i.e. Text Descriptions regarding specific operations),~ DATA TABLE SUMMARY,PRD
PASTYPE.,CHAR 7,DIGITAL DATA - GAS/GAS LIQUIDS ANALYSIS ,pas-gan,"Gas Analysis test, format",~ VERSION,GAN
UNIT.,CHAR 1,UNITS FLAG,(m)etric,Metric Units for AER submission,~ VERSION,GAN
VERS.,"NUMB 5,2",AER DIGITAL WELL TEST DATA,4,Current AER version for ASCII test data submission,~ VERSION,GAN
UWI.,CHAR 20 ,UNIQUE WELL ID,uwi must be valid and exist on aer database.,Unique Well Identifier - Bottomhole location.,~ WELL INFORMATION,GAN
DRILLEG.,NUMB 2 ,DRILLING LEG,"must be 01, 02, 03…09 (cannot be 0 or null)","Drilling Leg (Event or Occurrence). Together with the UWI, this is to help define the bottom of the specific drill hole.",~ WELL INFORMATION,GAN
WLIC.,CHAR 9,AER WELL LICENSE NUMBER,well license number must match aer license number for uwi ,AER Well License Number,~ WELL INFORMATION,GAN
FORM.,CHAR 20 ,FORMATION NAME,,Name of the geological formation/zone,~ WELL INFORMATION,GAN
WSFL.,NUMB 2,WELL FLUID TYPE AT TEST DATE,"must have a valid aer fluid code =  (01) oil, (02) gas, (06) water, or (17) crude bitumen","Type of Dominant Fluid Production/Pay (i.e. oil, gas, water)",~ WELL INFORMATION,GAN
LABCO.,CHAR 60,LABORATORY NAME,,Company name conducting analysis,~ TEST DATA,GAN
TTOPL.M,"NUMB 6,2",TEST/PROD. INTERVAL TOP M KB (LOG),[ttopl] (interval top - log) must be > 0.0 and < [tbasl] (interval base - log),"Top of tested or producing interval - in log depth, measured mKB",~ TEST DATA,GAN
TBASL.M,"NUMB 6,2",TEST/PROD. INTERVAL BASE M KB (LOG),[tbasl] (interval base - log) must be > 0.0 and => [ttopl] (interval top - log)  and cannot be greater than total well depth.,"Base of tested or producing interval - in log depth, measured mKB",~ TEST DATA,GAN
HYDLP.,CHAR 1,HYDROCARBON LIQUIDS PRODUCTION ,"must be = (y)es or (n)o.  if [hydlp] (hydrocarbon liquid production) = (y)es, then [dtcl] (data table - condensate / liquid analysis)  can not be null.",Flag indicating measurable liquid production (Y)es or (N)o,~ TEST DATA,GAN
STYP.,CHAR 1,SAMPLE TYPE,"must be a (g)as, (c)ondensate, (b)oth, or (r)ecombination",Type of Sample reported.,~ TEST DATA,GAN
GLR.M3/M3,"NUMB 7,0",GAS LIQUID RATIO,"mandatory, if [styp] (sample type)  = (r)ecombination","Calculated ratio, of separator gas and separator liquid at the time of sampling.",~ TEST DATA,GAN
DSTLOC.,CHAR 1,DST SAMPLE LOCATION,"if [fs-spnt] (first stage - sample gathering point code) = (50) then [dstloc] dst sample location) must be (t)op, (m)iddle, or (b)ottom",,~ TEST DATA,GAN
GANC.,CHAR 240,COMMENT ON SAMPLE,optional,General Free form Comment (regarding Sample or Analytical Procedures).,~ TEST DATA,GAN
FS-SDAT.DAY,YYYY MM DD,DATE SAMPLED,must be >= spud date and <= abandoned date and <= submission date,Date First Stage Separator sample was gathered,~ HEADER DATA - FIRST STAGE SEPARATOR GAS ANALYSIS,GAN
FS-SPNT.,NUMB 2,SAMPLE GATHERING POINT CODE,must be valid aer sample point code (see footnote).,Location as to where First Stage Separator Hydrocarbon Sample was gathered,~ HEADER DATA - FIRST STAGE SEPARATOR GAS ANALYSIS,GAN
FS-SPNTN.,CHAR 50,DESCRIPTION OF SAMPLE POINT,can not be null,Laboratories unique name describing location of First Stage Separator Sample Gathering Point,~ HEADER DATA - FIRST STAGE SEPARATOR GAS ANALYSIS,GAN
FS-SPRES.KPAA,"NUMB 8,2",SAMPLE PRESSURE,"mandatory, if [fs-sdat] (date sampled) > 2004 09 30. can not be zero",First Stage Separator Pressure as sampled (in field) - kPaa,~ HEADER DATA - FIRST STAGE SEPARATOR GAS ANALYSIS,GAN
FS-STEMP.DEGC,"NUMB 5,2",SAMPLE TEMPERATURE,"mandatory, if [fs-sdat] (date sampled) > 2004 09 30. can  be zero",First Stage Separator Temperature as sampled (in field) - DegC,~ HEADER DATA - FIRST STAGE SEPARATOR GAS ANALYSIS,GAN
FS-RPRES.KPAA,"NUMB 8,2",RECEIVED PRESSURE,can not be zero,First Stage Separator Pressure as received (in Lab) -kPaa,~ HEADER DATA - FIRST STAGE SEPARATOR GAS ANALYSIS,GAN
FS-RTEMP.DEGC,"NUMB 5,2",RECEIVED TEMPERATURE,can be zero,First Stage Separator Temperature as received (in Lab) - DegC,~ HEADER DATA - FIRST STAGE SEPARATOR GAS ANALYSIS,GAN
FS-ADAT.DAY,YYYY MM DD,DATE ANALYZED,must be >= [sdat] (date sampled) and <= submission date,Date in which First Stage Separator sample was analyzed,~ HEADER DATA - FIRST STAGE SEPARATOR GAS ANALYSIS,GAN
COMPCOM.,CHAR 11,Composition Components,,,~ DATA TABLE - FIRST STAGE SEPARATOR GAS ANALYSIS,GAN
MOLG.FRAC,"NUMB 5,4",Molal Fraction Air Free,"mandatory must total 1.0000, plus or minus 0.001 for rounding. can = zero",Representative Mole Fractions - Air Free as Received,~ DATA TABLE - FIRST STAGE SEPARATOR GAS ANALYSIS,GAN
MOLAGF.FRAC,"NUMB 5,4",Molal Fraction Acid Gas/Air Free,"mandatory must total 1.0000, plus or minus 0.001 for rounding. can = zero",Representative Mole Fractions - Air Free/Acid Gas Free ,~ DATA TABLE - FIRST STAGE SEPARATOR GAS ANALYSIS,GAN
LIQVOL.ML/M3,"NUMB 5,1",Liquid Volume ml/m3,,Liquid Volumes ml/m3 - Air Free,~ DATA TABLE - FIRST STAGE SEPARATOR GAS ANALYSIS,GAN
LFNUM.,CHAR 25,LABORATORY FILE NUMBER,can not be zero,Identification number,~ GAS ANALYSIS - DATA PROPERTIES,GAN
IDENT.,CHAR 12,CONTAINER IDENTITY,can not be zero,Identification code of container,~ GAS ANALYSIS - DATA PROPERTIES,GAN
RELDEN.,"NUMB 4,3",GAS RELATIVE DENSITY,can not be zero,Relative Density of First Stage Gas,~ GAS ANALYSIS - DATA PROPERTIES,GAN
TSMW.,"NUMB 3,1",CALC MOLE WEIGHT OF TOTAL SAMPLE,can not be zero,,~ GAS ANALYSIS - DATA PROPERTIES,GAN
GHV.MJ/M3,"NUMB 4,2",CALC GROSS HEAT VALUE MOISTURE FREE,can not be zero,,~ GAS ANALYSIS - DATA PROPERTIES,GAN
GHVAGF.MJ/M3,"NUMB 4,2",CALC GROSS HEAT VALUE MOISTURE & ACID GAS FREE,can not be zero,,~ GAS ANALYSIS - DATA PROPERTIES,GAN
PPVP.KPAA,"NUMB 8,2",CALC C5+ VAPOUR PRESSURE (KPAA),optional,,~ GAS ANALYSIS - DATA PROPERTIES,GAN
FS-PPC.KPAA,"NUMB 8,2",CALC PSEUDO CRITICAL PRESSURE AS SAMPLED,can not be zero,First Stage Separator - PPC (kPaa),~ GAS ANALYSIS - DATA PROPERTIES,GAN
FS-PTC.DEGK,"NUMB 5,2",CALC PSEUDO CRITICAL TEMPERATURE AS SAMPLED (DegK),can not be zero,First Stage Separator - PTC (Degrees Kelvin),~ GAS ANALYSIS - DATA PROPERTIES,GAN
FS-PPCAGF.KPAA,"NUMB 8,2",CALC PSEUDO CRITICAL PRESSURE ACID GAS FREE,can not be zero,First Stage Separator - PPC - Acid Gas Free (kPaa),~ GAS ANALYSIS - DATA PROPERTIES,GAN
FS-PTCAGF.DEGK,"NUMB 5,2",CALC PSEUDO CRITICAL TEMPERATURE ACID GAS FREE  (DegK),can not be zero,First Stage Separator - PTC - Acid Gas Free (Degrees Kelvin),~ GAS ANALYSIS - DATA PROPERTIES,GAN
H2SLC.,CHAR 1,LOCATION OF H2S MEASUREMENT,"mandatory, must indicate location of measurement (f)ield, (l)ab or (b)oth.",Location of H2S measurement. 1 PPM = (0.000001 MOL FRAC) or (0.0001 MOL %),~ GAS ANALYSIS - DATA PROPERTIES,GAN
H2SMT.,CHAR 1,METHOD OF FIELD ANALYSIS ,"mandatory, if [h2slc] (location of h2s measurement) = (f)ield or (b)oth. [h2smt] must = (t)utwieler, (l)itmus, (c)hromatograph, (o)ther, (s)tain tube or (n)ot measured. must be null if [h2slc] = (l)ab.",Method of H2S detection.,~ GAS ANALYSIS - DATA PROPERTIES,GAN
FLDH2S.PPM,"NUMB 7,1",FIELD GAS H2S (PPM),"mandatory, if [h2slc] (location of h2s measurement) = (f)ield or (b)oth and [h2smt] (method of field analysis) is not null, can be zero.  if [h2smt] = (n), [fldh2s] must be zero. must be null if [h2slc] = (l)ab.",H2S concentration measured in the field in parts per million. ,~ GAS ANALYSIS - DATA PROPERTIES,GAN
LABH2S.FRAC,"NUMB 5,4",LABORATORY H2S ANALYSIS,"mandatory, if [h2slc] (location of h2s measurement) = (l)ab or (b)oth.  can be zero.",H2S fraction measured in the lab.,~ GAS ANALYSIS - DATA PROPERTIES,GAN
C7+DN.,"NUMB 4,1",DENSITY OF C7+ FRACTION,"mandatory, if [fs-c7+.frac] (heptane plus) >0.0000, else must be null optional",,~ GAS ANALYSIS - DATA PROPERTIES,GAN
C7+MW.,"NUMB 3,1",MOLE WEIGHT C7+ FRACTION,"mandatory, if [fs-c7+.frac] (heptane plus) >0.0000, else must be null optional",,~ GAS ANALYSIS - DATA PROPERTIES,GAN
SS-SDAT.DAY,YYYY MM DD,DATE SAMPLED,must be >= spud date and <= abandoned date and <= submission date,Date Second Stage Separator sample was gathered,~ HEADER DATA - SECOND STAGE SEPARATOR - GAS ANALYSIS,GAN
SS-SPNT.,NUMB 2,SAMPLE GATHERING POINT CODE,must be valid aer sample point code (see footnote).,Location as to where Second Stage Separator Hydrocarbon Sample was gathered,~ HEADER DATA - SECOND STAGE SEPARATOR - GAS ANALYSIS,GAN
SS-SPNTN.,CHAR 50,DESCRIPTION OF SAMPLE POINT,can not be null,Laboratories unique name describing location of Second Stage Separator Sample Gathering Point,~ HEADER DATA - SECOND STAGE SEPARATOR - GAS ANALYSIS,GAN
SS-SPRES.KPAA,"NUMB 8,2",SAMPLE PRESSURE,"mandatory, if [ss-sdat] (date sampled) > 2004 09 30. can not be zero",Second Stage Separator Pressure as sampled (in field) - kPaa,~ HEADER DATA - SECOND STAGE SEPARATOR - GAS ANALYSIS,GAN
SS-STEMP.DEGC,"NUMB 5,2",SAMPLE TEMPERATURE,"mandatory, if [ss-sdat] (date sampled) > 2004 09 30. can be zero",Second  Stage Separator Temperature as sampled (in field) - DegC,~ HEADER DATA - SECOND STAGE SEPARATOR - GAS ANALYSIS,GAN
SS-RPRES.KPAA,"NUMB 8,2",RECEIVED PRESSURE,can not be zero,Second  Stage Separator Pressure as received (in Lab) - kPaa,~ HEADER DATA - SECOND STAGE SEPARATOR - GAS ANALYSIS,GAN
SS-RTEMP.DEGC,"NUMB 5,2",RECEIVED TEMPERATURE,can be zero,Second  Stage Separator Temperature as received (in Lab) - DegC,~ HEADER DATA - SECOND STAGE SEPARATOR - GAS ANALYSIS,GAN
SS-ADAT.DAY,YYYY MM DD,DATE ANALYZED,must be >= [ss-sdat] (date sampled) and <= submission date,Date in which Second Stage Separator sample was analyzed,~ HEADER DATA - SECOND STAGE SEPARATOR - GAS ANALYSIS,GAN
SS-H2S.FRAC,"NUMB 5,4",HYDROGEN SULPHIDE,"mandatory, if [sepcond] (separator conditions) = (b)oth and [styp] (sample type) = (r)ecombination, then cannot be null.",,~ SECOND STAGE SEPARATOR - GAS ANALYSIS,GAN
SS-CO2.FRAC,"NUMB 5,4",CARBON DIOXIDE,"mandatory, if [sepcond] (separator conditions) = (b)oth and [styp] (sample type) = (r)ecombination, then cannot be null.",,~ SECOND STAGE SEPARATOR - GAS ANALYSIS,GAN
SS-N2.FRAC,"NUMB 5,4",NITROGEN,"mandatory, if [sepcond] (separator conditions) = (b)oth and [styp] (sample type) = (r)ecombination, then cannot be null.",,~ SECOND STAGE SEPARATOR - GAS ANALYSIS,GAN
SS-H2.FRAC,"NUMB 5,4",HYDROGEN,"mandatory, if [sepcond] (separator conditions) = (b)oth and [styp] (sample type) = (r)ecombination, then cannot be null.",,~ SECOND STAGE SEPARATOR - GAS ANALYSIS,GAN
SS-HE.FRAC,"NUMB 5,4",HELIUM,"mandatory, if [sepcond] (separator conditions) = (b)oth and [styp] (sample type) = (r)ecombination, then cannot be null.",,~ SECOND STAGE SEPARATOR - GAS ANALYSIS,GAN
SS-C1.FRAC,"NUMB 5,4",METHANE,"mandatory, if [sepcond] (separator conditions) = (b)oth and [styp] (sample type) = (r)ecombination, then cannot be null.",,~ SECOND STAGE SEPARATOR - GAS ANALYSIS,GAN
SS-C2.FRAC,"NUMB 5,4",ETHANE,"mandatory, if [sepcond] (separator conditions) = (b)oth and [styp] (sample type) = (r)ecombination, then cannot be null.",,~ SECOND STAGE SEPARATOR - GAS ANALYSIS,GAN
SS-C3.FRAC,"NUMB 5,4",PROPANE,"mandatory, if [sepcond] (separator conditions) = (b)oth and [styp] (sample type) = (r)ecombination, then cannot be null.",,~ SECOND STAGE SEPARATOR - GAS ANALYSIS,GAN
SS-IC4.FRAC,"NUMB 5,4",ISO-BUTANE,"mandatory, if [sepcond] (separator conditions) = (b)oth and [styp] (sample type) = (r)ecombination, then cannot be null.",,~ SECOND STAGE SEPARATOR - GAS ANALYSIS,GAN
SS-NC4.FRAC,"NUMB 5,4",N-BUTANE,"mandatory, if [sepcond] (separator conditions) = (b)oth and [styp] (sample type) = (r)ecombination, then cannot be null.",,~ SECOND STAGE SEPARATOR - GAS ANALYSIS,GAN
SS-IC5.FRAC,"NUMB 5,4",ISO-PENTANE,"mandatory, if [sepcond] (separator conditions) = (b)oth and [styp] (sample type) = (r)ecombination, then cannot be null.",,~ SECOND STAGE SEPARATOR - GAS ANALYSIS,GAN
SS-NC5.FRAC,"NUMB 5,4",N-PENTANE,"mandatory, if [sepcond] (separator conditions) = (b)oth and [styp] (sample type) = (r)ecombination, then cannot be null.",,~ SECOND STAGE SEPARATOR - GAS ANALYSIS,GAN
SS-C6.FRAC,"NUMB 5,4",HEXANE,"mandatory, if [sepcond] (separator conditions) = (b)oth and [styp] (sample type) = (r)ecombination, then cannot be null.",,~ SECOND STAGE SEPARATOR - GAS ANALYSIS,GAN
SS-C7+.FRAC,"NUMB 5,4",HEPTANE PLUS,"mandatory, if [sepcond] (separator conditions) = (b)oth and [styp] (sample type) = (r)ecombination, then cannot be null.",,~ SECOND STAGE SEPARATOR - GAS ANALYSIS,GAN
CL-SDAT.DAY,YYYY MM DD,DATE SAMPLED,must be >= spud date and <= abandoned date and <= submission date,Date in which Condensate / Liquid sample was gathered,~ HEADER DATA - CONDENSATE / LIQUID ANALYSIS,GAN
CL-SPNT.,NUMB 2,SAMPLE GATHERING POINT CODE,must be valid aer sample point code (see footnote).,Location as to where Condensate / Liquid  Sample was gathered,~ HEADER DATA - CONDENSATE / LIQUID ANALYSIS,GAN
CL-SPNTN.,CHAR 50,DESCRIPTION OF SAMPLE POINT,can not be null,Laboratories unique name describing location of Condensate / Liquid Sample Gathering Point,~ HEADER DATA - CONDENSATE / LIQUID ANALYSIS,GAN
CL-SPRES.KPAA,"NUMB 8,2",SAMPLE PRESSURE,"mandatory, if [ss-sdat] (date sampled) > 2004 09 30. can not be zero",Condensate / Liquid Pressure as sampled (in field) - kPaa,~ HEADER DATA - CONDENSATE / LIQUID ANALYSIS,GAN
CL-STEMP.DEGC,"NUMB 5,2",SAMPLE TEMPERATURE,"mandatory, if [ss-sdat] (date sampled) > 2004 09 30. can be zero",Condensate / Liquid Temperature as sampled (in field) - DegC,~ HEADER DATA - CONDENSATE / LIQUID ANALYSIS,GAN
CL-RPRES.KPAA,"NUMB 8,2",RECEIVED PRESSURE,"optional, if present can not be zero",Condensate / Liquid Pressure as received (in Lab) - kPaa,~ HEADER DATA - CONDENSATE / LIQUID ANALYSIS,GAN
CL-RTEMP.DEGC,"NUMB 5,2",RECEIVED TEMPERATURE,"optional, can be zero.",Condensate / Liquid Temperature as received (in Lab) - DegC,~ HEADER DATA - CONDENSATE / LIQUID ANALYSIS,GAN
CL-ADAT.DAY,YYYY MM DD,DATE ANALYZED,must be >= sdat (sample date) and <= submission date,Date in which Condensate / Liquid  sample was analyzed,~ HEADER DATA - CONDENSATE / LIQUID ANALYSIS,GAN
COMPCOM.,CHAR 11,Composition Components,,,~ DATA TABLE - CONDENSATE / LIQUID ANALYSIS,GAN
MOLC.FRAC,"NUMB 5,4",Molal Fraction ,"mandatory must total 1.0000, plus or minus 0.001 for rounding. can = zero, can be null",Representative Mole Fractions - Air Free as Received,~ DATA TABLE - CONDENSATE / LIQUID ANALYSIS,GAN
MASS.FRAC,"NUMB 5,4",Mass Fraction ,"mandatory must total 1.0000, plus or minus 0.001 for rounding. can = zero, can be null",Representative Mass Fractions - Air Free as Received,~ DATA TABLE - CONDENSATE / LIQUID ANALYSIS,GAN
VOL.FRAC,"NUMB 5,4",Volume Fraction,"mandatory must total 1.0000, plus or minus 0.001 for rounding. can = zero, can be null",Representative Volume Fractions - Air Free as Received,~ DATA TABLE - CONDENSATE / LIQUID ANALYSIS,GAN
LFNUM.,CHAR 25,LABORATORY FILE NUMBER,,Identification number,~ CONDENSATE / LIQUID ANALYSIS - DATA PROPERTIES,GAN
IDENT.,CHAR 12,CONTAINER IDENTITY,,Identification code of container,~ CONDENSATE / LIQUID ANALYSIS - DATA PROPERTIES,GAN
H2SLP.,CHAR 1,HYDROGEN SULPHIDE INDICATOR - CONDENSATE/LIQUID,"mandatory, must be (n)one, (t)race or (m)easured. if [h2slp] (hydrogen sulphide indicator) = (n)one or (t)race, then [cl-h2s] (condensate / liquid analysis - hydrogen sulphide) must = 0.000, else must be > 0.00",Measured H2S component  = >100 PPM (0.0001 MOL FRAC) or (0.01 MOL %).,~ CONDENSATE / LIQUID ANALYSIS - DATA PROPERTIES,GAN
LH2S.PPM,"NUMB 3,1",LIQUID H2S PPM,can be zero. can be null.,"H2S in Parts per Million (<= 99.9, or 0.0000999 MOL FRAC). Note: Any Indication of Trace Liquid H2S, if not sampled, should be recorded in ~Test Data [GANC] (Comment on Sample).",~ CONDENSATE / LIQUID ANALYSIS - DATA PROPERTIES,GAN
LIQRDN.,"NUMB 4, 3",CALC REL DENSITY OF TOTAL SAMPLE @ 15 DegC,must be < 1,Calculated Relative Density of Condensate / Liquid Sample,~ CONDENSATE / LIQUID ANALYSIS - DATA PROPERTIES,GAN
LIQRMW.,"NUMB 4,1",CALC REL MOLE MASS OF TOTAL SAMPLE @ 15 DegC,,Calculated Relative Molar Mass of Condensate / Liquid Sample,~ CONDENSATE / LIQUID ANALYSIS - DATA PROPERTIES,GAN
LIQCOMP.,CHAR 11,Liquid Components,,,~ DATA TABLE - CONDENSATE / LIQUID FRACTION DISTILLATION,GAN
MOLL.FRAC,"NUMB 5,4",Molal Fraction ,"optional, if reported must be <1, can be zero",,~ DATA TABLE - CONDENSATE / LIQUID FRACTION DISTILLATION,GAN
MASS.FRAC,"NUMB 5,4",Mass Fraction ,"optional, if reported must be <1, can be zero",,~ DATA TABLE - CONDENSATE / LIQUID FRACTION DISTILLATION,GAN
VOL.FRAC,"NUMB 5,4",Volume Fraction,"optional, if reported must be <1, can be zero",,~ DATA TABLE - CONDENSATE / LIQUID FRACTION DISTILLATION,GAN
RDLIQ.,"NUMB 4,3",Relative Density of Liquid Components,"optional, if reported must be <1, can not be zero",,~ DATA TABLE - CONDENSATE / LIQUID FRACTION DISTILLATION,GAN
RELMM.,NUMB 3,Relative Molecular Mass ,"optional, if reported valid range = 80 to 250",,~ DATA TABLE - CONDENSATE / LIQUID FRACTION DISTILLATION,GAN
SEPCOND.,CHAR 1,SEPARATOR CONDITIONS,"if [styp] (sample type) = (r)ecombination, then must be (f)irst stage separator, or (b)oth, else null",(B)oth = First & Second Stage Separator Samples reported,~ RECOMBINED GAS ANALYSIS - DATA PROPERTIES,GAN
FS-GAS.E3M3/D,"NUMB 13,4",FIRST STAGE GAS RATE ,"if [styp] (sample type) = (r)ecombination and [sepcond] (separator conditions)  = (f)irst or (b)oth, then cannot be null. ",103m3/d,~ RECOMBINED GAS ANALYSIS - DATA PROPERTIES,GAN
SS-GAS.E3M3/D,"NUMB 13,4",SECOND STAGE GAS RATE ,"if [styp] (sample type) = (r)ecombination and [sepcond] (separator conditions)  = (b)oth, then cannot be null. ",103m3/d,~ RECOMBINED GAS ANALYSIS - DATA PROPERTIES,GAN
LIQRAT.M3/D,"NUMB 13,4",LIQUID RATE,"mandatory, if styp= 'r' ",The separator liquid rate used for the recombination.,~ RECOMBINED GAS ANALYSIS - DATA PROPERTIES,GAN
LIQGPT.,CHAR 1,LIQUID GATHERING POINT,"if [styp] (sample type) = (r)ecombination, then [liqgpt] must be (f)irst stage separator, (s)econd stage separator or stock (t)ank.",,~ RECOMBINED GAS ANALYSIS - DATA PROPERTIES,GAN
LIQMM.,"NUMB 4,1",LIQUID MOLECULAR MASS g/mol,"mandatory, if  [styp] (sample type) = (r)ecombination",,~ RECOMBINED GAS ANALYSIS - DATA PROPERTIES,GAN
LIQRDN.,"NUMB 4, 3",DENSITY OF LIQUID kg/m3,"mandatory, if  [styp] (sample type) = (r)ecombination",DENSITY OF LIQUID kg/m3 AT MEASURED CONDITIONS,~ RECOMBINED GAS ANALYSIS - DATA PROPERTIES,GAN
R-H2S.FRAC,"NUMB 5,4",CALC HYDROGEN SULPHIDE,"if [styp] (sample type) = (r)ecombination, then cannot be null.",,~ RECOMBINED GAS COMPOSITION,GAN
R-CO2.FRAC,"NUMB 5,4",CALC CARBON DIOXIDE,"if [styp] (sample type) = (r)ecombination, then cannot be null.",,~ RECOMBINED GAS COMPOSITION,GAN
R-N2.FRAC,"NUMB 5,4",CALC NITROGEN,"if [styp] (sample type) = (r)ecombination, then cannot be null.",,~ RECOMBINED GAS COMPOSITION,GAN
